Country,TIME_PERIOD,OBS_VALUE,Country Code,Indicator Name,Indicator Code,GDP_per_capita
France,2015,44.687599,FRA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,51923.3890466441
Canada,2015,59.182831,CAN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,54819.1890353874
France,2013,44.055721,FRA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,51286.2889509085
Canada,2013,57.603394,CAN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,53884.8455875649
United States,2013,44.779469,USA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,62112.583447369
Italy,2013,22.744907,ITA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,47213.0742045449
United States,2018,49.373737,USA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,68095.6868059923
Italy,2018,27.863623,ITA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,49297.498015943
Spain,2018,44.259609,ESP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,45849.0498869727
Japan,2018,60.730949,JPN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,45094.7333124842
United Kingdom,2020,55.833538,GBR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,48583.7606864189
United States,2020,51.856071,USA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,67266.187874108
Italy,2020,28.628069,ITA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,45835.907693984
Germany,2017,31.308737,DEU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,61563.5840905045
Spain,2019,46.508266,ESP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,46424.2866260789
Japan,2019,61.514194,JPN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,44976.5080765088
Germany,1997,21.040304,DEU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,46654.3895456355
Spain,1997,29.557011,ESP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,34902.6661256338
Spain,2003,37.90205,ESP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,41833.6710457448
Canada,2003,53.179329,CAN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,49381.5950355437
